"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"g546",842,579,1208,628,687,450,370,780,608
"g547",1199,1221,1733,1223,1094,1009,652,1164,1030
"g33433",2748,3182,3120,3539,2006,4287,3177,1877,4451
"g45577",898,844,1011,918,846,1115,1002,765,1365
"g46179",186,253,249,167,202,118,106,197,95
"g36458",1487,1412,2072,1528,1410,1213,950,1228,1225
"g42331",1756,1617,1932,1746,1054,2089,1688,1190,2141
"g61007",735,739,732,720,680,973,754,528,987
"g62874",2481,2545,1959,1443,1298,1150,714,1981,1217
"g10449",265,247,189,103,116,67,59,126,68
"g37198",1606,1735,1598,1734,1324,2028,1484,1167,2044
"g31936",3629,4518,3612,3647,3539,5405,3564,2300,5052
"adi2mcaRNA34458_R2",231,195,364,226,250,394,305,216,369
"g57629",3245,3065,2814,2939,1623,3842,3138,1695,3941
"g20161",75,139,54,56,72,142,85,57,169
"adi2mcaRNA26989_R0",5397,4165,7391,3183,4584,2594,2364,4832,3135
"g7550",453,443,504,425,478,582,584,396,549
"g3076",9162,10143,9662,10023,6635,11919,8413,6378,11951
"g26258",173,162,184,141,149,71,71,174,105
"g26259",527,427,557,572,418,742,479,434,715
"adi2mcaRNA28113_R0",419,551,458,390,388,648,384,317,583
"g5042",4034,3570,5435,2875,3705,2292,2015,3762,2586
"g45154",401,370,477,432,380,311,193,285,260
"g9769",1734,1930,1911,1775,1554,2094,1806,1197,2790
"g7920",661,404,988,458,589,290,246,612,309
"adi2mcaRNA8071_R0",739,825,951,977,627,1232,956,494,1410
"g54241",1127,979,1220,956,1073,1310,1157,911,1496
"g29890",1792,1576,1789,1814,1461,2074,1612,1287,2109
"g47488",962,1191,1391,1564,1399,2449,1869,1239,2541
"g18095",150,119,259,223,340,555,426,163,766
"g29231",278,301,779,641,635,332,177,400,328
"adi2mcaRNA7157_R0",548,535,604,508,388,611,606,522,624
"g54459",229,245,266,308,163,648,394,77,693
"adi2mcaRNA23362_R0",44,90,93,64,42,33,20,70,19
"g26869",3960,4296,4195,3931,3257,5301,3102,2738,5096
"g13792",3156,2706,3701,1903,2802,1755,1248,2862,2093
"g54190",308,277,227,186,222,354,207,206,328
"g27734",1622,1532,1693,1281,1349,1081,669,1565,1086
"g7070",1146,1118,1657,970,924,767,518,1025,790
"adi2mcaRNA19518_R1",263,265,277,207,203,143,93,218,131
"g49884",133,134,81,46,73,133,97,78,100
"g45391",1069,949,740,834,930,1364,895,656,1193
"g2549",274,274,224,273,187,382,292,184,316
"g33957",4962,4880,5637,5669,5213,8009,5841,3928,6785
"g33953",251,279,428,299,367,526,352,253,520
"g33958",6738,7519,8309,8360,7518,10761,7972,5972,9189
"g9976",828,918,662,594,550,1020,906,478,1065
"g4521",1394,1446,1027,1540,1260,1907,1460,1174,1997
"g67855",4243,4570,6869,6867,5253,9095,8249,4778,10195
"g21664",225,215,200,176,159,301,161,139,262
"g21661",4700,4977,7416,8250,5805,10496,8740,5599,11053
"g39462",107,79,113,111,115,65,20,81,43
"g11515",137,81,210,107,112,60,36,114,81
"g27155",1118,1232,1229,1276,874,1460,1141,825,1505
"g17912",685,861,749,852,588,1030,868,649,958
"g39420",386,381,277,362,239,539,403,181,492
"g69868",804,754,784,780,551,1134,900,523,1123
"g63836",698,623,832,583,641,460,393,685,464
"g45867",389,363,374,338,194,448,305,243,431
"g15420",230,166,361,231,210,169,102,192,156
"g34632",291,323,295,291,257,358,293,251,387
"g3548",2691,3432,2758,2180,2355,3571,2863,2184,3251
"adi2mcaRNA24060_R1",86,55,304,242,206,87,72,146,117
"g6789",778,689,894,644,683,847,846,544,1030
"g43069",1247,1567,1550,1475,1223,1885,1362,979,1714
"g38329",408,378,427,534,381,718,601,379,887
"g23897",625,544,713,607,598,903,591,423,822
"adi2mcaRNA1829_R0",4949,5866,7085,5457,5546,8077,6433,3332,9616
"g35175",8003,8587,6673,7096,4680,8171,6781,6224,7217
