,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,cluster
7367,g64509,40.69577212,-1.580893756,0.410278578,-3.853220325,0.000116574,0.002107488,l_vs_amb,2
7368,g6453,2187.196305,0.682860688,0.153669413,4.443699464,8.84E-06,0.000274939,l_vs_amb,1
7369,g64597,175.9917785,0.737111609,0.253272585,2.910348977,0.003610254,0.027621312,l_vs_amb,1
7370,g64607,2348.914384,-0.387311517,0.114807559,-3.373571568,0.000741998,0.017222248,xl_vs_l,1
7371,g64607,2348.914384,-0.387311517,0.114807559,-3.373571568,0.000741998,0.017222248,xl_vs_l,1
7372,g64607,2348.914384,0.53640008,0.115005323,4.664132625,3.10E-06,0.000118774,l_vs_amb,1
7373,g64607,2348.914384,0.53640008,0.115005323,4.664132625,3.10E-06,0.000118774,l_vs_amb,1
7374,g64610,228.1975033,0.978959932,0.241347741,4.056221652,4.99E-05,0.005843492,xl_vs_amb,1
7375,g64610,228.1975033,0.978959932,0.241347741,4.056221652,4.99E-05,0.005843492,xl_vs_amb,1
7376,g64610,228.1975033,0.803720301,0.242710814,3.311431769,0.000928199,0.010048082,l_vs_amb,1
7377,g64610,228.1975033,0.803720301,0.242710814,3.311431769,0.000928199,0.010048082,l_vs_amb,1
7378,g64625,85.5200089,-0.889208062,0.303149371,-2.93323407,0.003354509,0.046135326,xl_vs_l,1
7379,g64701,608.1512309,-0.610767263,0.165700013,-3.685981987,0.000227822,0.008163784,xl_vs_l,1
7380,g64701,608.1512309,-0.610767263,0.165700013,-3.685981987,0.000227822,0.008163784,xl_vs_l,1
7381,g64701,608.1512309,0.643006912,0.165938649,3.874967733,0.000106639,0.001974474,l_vs_amb,1
7382,g64701,608.1512309,0.643006912,0.165938649,3.874967733,0.000106639,0.001974474,l_vs_amb,1
7383,g64703,868.0086815,-0.394282865,0.132579666,-2.973931642,0.002940106,0.023732435,l_vs_amb,2
7384,g64755,365.4197435,0.692826475,0.162176738,4.272045947,1.94E-05,0.000506021,l_vs_amb,1
7385,g64759,960.8448248,0.390859782,0.136042299,2.873075384,0.004064971,0.030039281,l_vs_amb,1
7386,g64760,1299.563036,0.513669082,0.131389432,3.909515962,9.25E-05,0.004367996,xl_vs_l,2
7387,g64760,1299.563036,0.513669082,0.131389432,3.909515962,9.25E-05,0.004367996,xl_vs_l,2
7388,g64760,1299.563036,-0.463379693,0.131519383,-3.523280617,0.00042624,0.005682225,l_vs_amb,2
7389,g64760,1299.563036,-0.463379693,0.131519383,-3.523280617,0.00042624,0.005682225,l_vs_amb,2
7390,g64782,733.4504416,0.856699648,0.197164617,4.345098322,1.39E-05,0.002235496,xl_vs_amb,1
7391,g64793,95491.64073,0.461827452,0.121241507,3.809153016,0.000139444,0.002409114,l_vs_amb,1
7392,g64806,5808.158637,-0.459796711,0.154022678,-2.985253311,0.002833436,0.04169043,xl_vs_l,1
7393,g64806,5808.158637,-0.459796711,0.154022678,-2.985253311,0.002833436,0.04169043,xl_vs_l,1
7394,g64806,5808.158637,0.821390652,0.154151573,5.328461052,9.90E-08,6.78E-06,l_vs_amb,1
7395,g64806,5808.158637,0.821390652,0.154151573,5.328461052,9.90E-08,6.78E-06,l_vs_amb,1
7396,g64811,868.4212077,0.409281573,0.123344644,3.318194949,0.000906012,0.04905544,xl_vs_amb,1
7397,g65046,5203.163808,0.389454898,0.110097119,3.537375941,0.000404124,0.011327288,xl_vs_l,2
7398,g65046,5203.163808,0.389454898,0.110097119,3.537375941,0.000404124,0.011327288,xl_vs_l,2
7399,g65046,5203.163808,0.440625396,0.110056401,4.003632626,6.24E-05,0.006813735,xl_vs_amb,2
7400,g65046,5203.163808,0.440625396,0.110056401,4.003632626,6.24E-05,0.006813735,xl_vs_amb,2
7401,g65053,847.6720116,0.708182373,0.153728785,4.606699855,4.09E-06,0.000146317,l_vs_amb,1
7402,g65057,875.4143535,-0.798181039,0.195579852,-4.081100533,4.48E-05,0.002512707,xl_vs_l,1
7403,g65057,875.4143535,-0.798181039,0.195579852,-4.081100533,4.48E-05,0.002512707,xl_vs_l,1
7404,g65057,875.4143535,0.74970812,0.195592365,3.833013209,0.000126583,0.002243003,l_vs_amb,1
7405,g65057,875.4143535,0.74970812,0.195592365,3.833013209,0.000126583,0.002243003,l_vs_amb,1
7406,g65061,395.184333,0.577093928,0.168113379,3.432766223,0.000597457,0.014973132,xl_vs_l,2
7407,g65061,395.184333,0.577093928,0.168113379,3.432766223,0.000597457,0.014973132,xl_vs_l,2
7408,g65061,395.184333,-0.470336061,0.168620961,-2.78930957,0.005282055,0.035957249,l_vs_amb,2
7409,g65061,395.184333,-0.470336061,0.168620961,-2.78930957,0.005282055,0.035957249,l_vs_amb,2
7410,g65063,660.4000193,0.934020658,0.210733135,4.43224392,9.33E-06,0.000889871,xl_vs_l,2
7411,g65063,660.4000193,0.934020658,0.210733135,4.43224392,9.33E-06,0.000889871,xl_vs_l,2
7412,g65063,660.4000193,-0.645536962,0.211226767,-3.056132377,0.002242122,0.019485999,l_vs_amb,2
7413,g65063,660.4000193,-0.645536962,0.211226767,-3.056132377,0.002242122,0.019485999,l_vs_amb,2
7414,g65070,114.0474185,-1.010794944,0.286420684,-3.52905709,0.000417043,0.011587756,xl_vs_l,1
7415,g65070,114.0474185,-1.010794944,0.286420684,-3.52905709,0.000417043,0.011587756,xl_vs_l,1
7416,g65070,114.0474185,1.973157026,0.298176014,6.61742372,3.66E-11,7.99E-09,l_vs_amb,1
7417,g65070,114.0474185,1.973157026,0.298176014,6.61742372,3.66E-11,7.99E-09,l_vs_amb,1
7418,g65077,59.93533704,0.980478502,0.318425283,3.079147777,0.002075937,0.018461102,l_vs_amb,1
7419,g65079,320.7769782,-0.896690315,0.234153238,-3.829502099,0.000128403,0.002271489,l_vs_amb,2
7420,g65079,320.7769782,-0.896690315,0.234153238,-3.829502099,0.000128403,0.002271489,l_vs_amb,2
7421,g65079,320.7769782,0.943713693,0.233886371,4.034923837,5.46E-05,0.002933263,xl_vs_l,2
7422,g65079,320.7769782,0.943713693,0.233886371,4.034923837,5.46E-05,0.002933263,xl_vs_l,2
7423,g65080,783.4478588,0.685426009,0.159462665,4.298347883,1.72E-05,0.001330258,xl_vs_l,2
7424,g65080,783.4478588,0.685426009,0.159462665,4.298347883,1.72E-05,0.001330258,xl_vs_l,2
7425,g65080,783.4478588,-0.649736231,0.159611093,-4.070746068,4.69E-05,0.001027576,l_vs_amb,2
7426,g65080,783.4478588,-0.649736231,0.159611093,-4.070746068,4.69E-05,0.001027576,l_vs_amb,2
7427,g65315,580.4044295,1.086806773,0.195431273,5.561068889,2.68E-08,1.07E-05,xl_vs_l,2
7428,g65315,580.4044295,1.086806773,0.195431273,5.561068889,2.68E-08,1.07E-05,xl_vs_l,2
7429,g65315,580.4044295,-1.335655078,0.19511162,-6.845594735,7.62E-12,2.01E-09,l_vs_amb,2
7430,g65315,580.4044295,-1.335655078,0.19511162,-6.845594735,7.62E-12,2.01E-09,l_vs_amb,2
7431,g65333,2742.250361,-0.454386059,0.143489824,-3.166677933,0.00154191,0.014759756,l_vs_amb,2
7432,g65348,528.0586533,-0.510322804,0.153837966,-3.317274786,0.000909002,0.009932975,l_vs_amb,2
7433,g65354,595.7849713,0.614748084,0.178895748,3.436348212,0.000589613,0.014928507,xl_vs_l,2
7434,g65354,595.7849713,0.614748084,0.178895748,3.436348212,0.000589613,0.014928507,xl_vs_l,2
7435,g65354,595.7849713,-0.830557638,0.178594163,-4.650530702,3.31E-06,0.000123138,l_vs_amb,2
7436,g65354,595.7849713,-0.830557638,0.178594163,-4.650530702,3.31E-06,0.000123138,l_vs_amb,2
7437,g65357,297.7917833,-0.55946837,0.178490635,-3.13444103,0.001721819,0.016030647,l_vs_amb,2
7438,g65415,134.1228732,-0.905499587,0.315493884,-2.870101872,0.004103396,0.030218992,l_vs_amb,2
7439,g65415,134.1228732,-0.905499587,0.315493884,-2.870101872,0.004103396,0.030218992,l_vs_amb,2
